dataset_option,dataset_type,model_type,features,recall_mean,recall_std,accuracy,recall,precision,f1,auc
opt4,test,decision_tree,original,,,0.8926924010682205,0.2665229885057471,0.5488165680473372,0.3588007736943908,0.6193536055159835
opt4,train,random_forest,original,,,0.7986195414657834,0.645935960591133,0.3106307373408351,0.4195160967806439,0.7319700519837969
opt4,test,random_forest,original,,,0.8025410698389577,0.6738505747126436,0.3207934336525307,0.4346617238183503,0.7463644118433259
opt4,train,knn,original,,,0.9953175401477576,0.9778325123152708,0.9805495523309664,0.9791891475258208,0.9876849697565098
opt4,test,knn,original,,,0.8493161770656308,0.3390804597701149,0.3338048090523338,0.3364219529579472,0.6265853735239083
opt5,train,logistic_regression,original,,,0.712496965072318,0.7044334975369458,0.2379120307788291,0.3556937427127867,0.7089770974375109
opt5,test,logistic_regression,original,,,0.7183782471473659,0.7320402298850575,0.2469704314105671,0.3693367162015222,0.7243420483670614
opt5,train,sgd,original,,,0.7309840102667268,0.6477832512315271,0.2413951353832033,0.3517218321631561,0.694665186183328
opt5,test,sgd,original,,,0.7316500768795015,0.6609195402298851,0.2444208289054197,0.3568657874321179,0.7007744075978427
opt5,train,decision_tree,original,,,0.9270229960806076,0.4575123152709359,0.812910284463895,0.5855003940110323,0.7220720314579282
opt5,test,decision_tree,original,,,0.8903455531277819,0.2808908045977011,0.5248322147651007,0.3659335517080018,0.6243031314370174
opt5,train,random_forest,original,,,0.7385800006936978,0.6945812807881774,0.2563345074423361,0.3744709104489999,0.7193736642771361
opt5,test,random_forest,original,,,0.7445172776563891,0.7241379310344828,0.2665961385876752,0.3897158322056833,0.7356211770995487
opt5,train,knn,original,,,0.9953175401477576,0.9778325123152708,0.9805495523309664,0.9791891475258208,0.9876849697565098
opt5,test,knn,original,,,0.8515820992150198,0.3512931034482758,0.3443661971830986,0.3477951635846372,0.6331932913502208
opt6,train,logistic_regression,original,,,0.7173875342513267,0.7028940886699507,0.2411789562645256,0.3591316658801321,0.7110608503780508
opt6,test,logistic_regression,original,,,0.7258234199239297,0.7313218390804598,0.2524801587301587,0.3753687315634218,0.728223619038634
opt6,train,sgd,original,,,0.7548472130692657,0.6699507389162561,0.2662750856583455,0.3810858143607706,0.7177881748366999
opt6,test,sgd,original,,,0.7576272558064255,0.7004310344827587,0.2744159864902899,0.3943377148634985,0.7326596576882558
opt6,train,decision_tree,original,,,0.90846658111061,0.3411330049261084,0.6894835096453018,0.4564366632337796,0.6608139323969946
opt6,test,decision_tree,original,,,0.8963340616654528,0.2823275862068966,0.5822222222222222,0.3802612481857765,0.6283046959762253
opt6,train,random_forest,original,,,0.7974055703929798,0.645935960591133,0.3090293121225512,0.4180532031483511,0.7312860039831716
opt6,test,random_forest,original,,,0.8022982924658089,0.6738505747126436,0.3204646395626921,0.4343598055105349,0.7462276129377172
opt6,train,knn,original,,,0.9954562796989352,0.978756157635468,0.9808701018204258,0.9798119895207272,0.9881663366451976
opt6,test,knn,original,,,0.85360524399126,0.3326149425287356,0.3447505584512286,0.3385740402193784,0.6261797922857996
opt7,train,logistic_regression,original,,,0.7019874440706184,0.7127463054187192,0.2321034690194505,0.3501739525034034,0.7066839059439295
opt7,test,logistic_regression,original,,,0.7113377033260501,0.7392241379310345,0.2430900070871722,0.3658666666666667,0.7235108377753667
